"artifact","field","locale","occurrences","scalar_utf8_bytes","types","source_candidates_not_usage_proof"
"src/lib/generated/catalogs/enemies.json","[].weaknesses.[].name","localized","1714","10796","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;... 110 candidate files"
"src/lib/generated/catalogs/light-cones.json","[].id","neutral","169","1183","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/ChangelogModal.svelte;src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/as/ApocalypticShadowNodeSection.svelte;... 117 candidate files"
"src/lib/generated/catalogs/light-cones.json","[].name","localized","169","3020","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;... 110 candidate files"
"src/lib/generated/catalogs/light-cones.json","[].description","localized","169","15717","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/mechanics/BuffOptionTile.svelte;src/lib/components/endgame/mechanics/MechanicEntry.svelte;src/lib/components/endgame/mechanics/MechanicSectionCard.svelte;src/lib/components/endgame/modes/AnomalyArbitrationDetailContent.svelte;... 47 candidate files"
"src/lib/generated/catalogs/light-cones.json","[].rarity","neutral","169","169","number","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EnemyCatalogPage.svelte;src/lib/components/EquipmentRecommendationSection.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/LightConeOverviewCard.svelte;src/lib/components/OverviewToolbar.svelte;... 28 candidate files"
"src/lib/generated/catalogs/light-cones.json","[].path","neutral","169","1346","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EquipmentRecommendationSection.svelte;src/lib/components/FilterChip.svelte;src/lib/components/FilterGroup.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/LightConeOverviewCard.svelte;... 71 candidate files"
"src/lib/generated/catalogs/light-cones.json","[].pathName","localized","169","1352","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EquipmentRecommendationSection.svelte;src/lib/components/LightConeCatalogPage.svelte;src/lib/components/LightConeOverviewCard.svelte;src/lib/domain/enemy-view.ts;src/lib/domain/types.ts;... 14 candidate files"
"src/lib/generated/catalogs/relic-properties.json","[].propertyType","neutral","21","365","string","src/lib/components/EquipmentRecommendationSection.svelte;src/lib/domain/equipment-recommendation-view.ts;src/lib/domain/types.ts;scripts/assets/shared.ts;scripts/data/sync.ts;scripts/data/validate.ts;tests/unit/data.test.ts;tests/unit/visual-assets.test.ts"
"src/lib/generated/catalogs/relic-properties.json","[].name","localized","21","348","string","src/lib/components/CharacterCatalogPage.svelte;src/lib/components/CharacterOverviewCard.svelte;src/lib/components/CompactEntityCard.svelte;src/lib/components/DetailPage.svelte;src/lib/components/EffectExplanationSection.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameEnemyCard.svelte;src/lib/components/endgame/EndgameOverviewCard.svelte;... 110 candidate files"
"src/lib/generated/catalogs/relic-properties.json","[].iconKey","neutral","21","370","string","src/lib/components/BaseStatsPanel.svelte;src/lib/components/EidolonCard.svelte;src/lib/components/endgame/EndgameModeIcon.svelte;src/lib/components/PrimaryNavigation.svelte;src/lib/components/RelicPropertyToken.svelte;src/lib/components/SkillCardPanel.svelte;src/lib/components/TraceAbilityHeading.svelte;src/lib/components/TraceCardPanel.svelte;... 20 candidate files"
"src/lib/generated/catalogs/relic-properties.json","[].allowedMainSlots.[]","neutral","28","178","string","src/lib/domain/types.ts;scripts/data/sync.ts;scripts/data/validate.ts;tests/unit/data.test.ts"
